geogname	lat	long
Avenue Ledru-Rollin	48.8506597	2.3754554
Avenue Léon Bollée	48.817974	2.3620242
Avenue Léon Gaumont	48.8508686	2.4159155
Avenue Léon Heuzey	48.8477976	2.2713697
Avenue Léopold II	48.8523746	2.2714584
Avenue Louis Barthou	48.864782	2.2682877
Avenue Lucien Descaves	48.8172744	2.3322788
Avenue Mac-Mahon	48.8765018	2.2945644
Avenue Marc Sangnier	48.8258654	2.3077506
Avenue Marceau	48.8693327	2.2982887
Avenue Marcel Doret	48.8364559	2.2592126
Avenue Marcel Proust	48.8562109	2.2826794
Avenue Mathurin Moreau	48.8784171	2.3742777
Avenue Matignon	48.8705244	2.3127986
Avenue Maurice d'Ocagne	48.8245676	2.3143236
Avenue Maurice Ravel	48.8417265	2.4115802
Avenue Milleret de Brou	48.853768	2.2722553
Avenue Moderne	48.8836476	2.3822358
Avenue Molière	48.844468	2.2628984
Avenue Montaigne	48.867092	2.3062035
Avenue Mozart	48.8538353	2.2688984
Avenue Myron Herrick	48.8741725	2.3100602
Avenue Niel	48.8816547	2.2957552
Avenue Octave Gréard	48.8566797	2.2935503
Avenue Parmentier	48.8648998	2.3748658
Avenue Paul Adam	48.887499	2.2962457
Avenue Paul Appell	48.8215376	2.3274293
Avenue Paul Déroulède	48.8505157	2.299194
Avenue Paul Doumer	48.8602412	2.2810716
Avenue Percier	48.874889	2.3143854
Avenue Perrichont	48.8494634	2.2730626
Avenue Philippe-Auguste	48.8535623	2.3927014
Avenue Pierre 1er de Serbie	48.866343	2.2970496
Avenue Pierre de Coubertin	48.8176882	2.3441463
Avenue Pierre Loti	48.8552912	2.2987354
Avenue Pierre Masse	48.8175165	2.3339163
Avenue Pierre Mendès-France	48.8391529	2.3698735
Avenue Prudhon	48.8590082	2.2693481
Avenue Rachel	48.8852457	2.3309926
Avenue Raphaël	48.8595871	2.2681056
Avenue Rapp	48.8603266	2.3010148
Avenue Raymond Poincaré	48.8674166	2.2859093
Avenue Reille	48.8242687	2.3363874
Avenue René Boylesve	48.8562576	2.2845206
Avenue René Coty	48.8289339	2.3345419
Avenue René Fonck	48.8792747	2.4086772
Avenue Richerand	48.8722641	2.3661672
Avenue Robert Schuman	48.861734	2.308054
Avenue Rockefeller	48.8195712	2.3390577
Avenue Rodin	48.8636339	2.2750294
Avenue Ruysdaël	48.8779427	2.3100231
Avenue Sainte-Eugénie	48.8355935	2.2982397
Avenue Saint-Honoré d'Eylau	48.8675045	2.2866811
Avenue Secrétan	48.880877	2.374082
Avenue Silvestre de Sacy	48.8589225	2.2968472
Avenue Simon Bolivar	48.8763677	2.379148
Avenue Stéphane Mallarmé	48.886507	2.2928368
Avenue Stephen Pichon	48.8329504	2.3591397
Avenue Sully-Prudhomme	48.8617419	2.3083142
Avenue Taillade	48.8747763	2.3938128
Avenue Théodore Rousseau	48.8539684	2.2705998
Avenue Théophile Gautier	48.8499396	2.272278
Avenue Transversale	48.8382807	2.3259683
Avenue Trudaine	48.8811319	2.3425485
Avenue Van Dyck	48.878411	2.30616
Avenue Vavin	48.844225	2.3330288
Avenue Velasquez	48.880017	2.3131448
Avenue Victor Hugo	48.8688165	2.2833208
Avenue Victoria	48.8574926	2.348622
Avenue Villemain	48.8318677	2.3167324
Avenue Vincent d'Indy	48.8434458	2.4115874
Avenue Vion-Whitcomb	48.8565698	2.2699701
Avenue Winston Churchill	48.8659003	2.3138075
Avenue Yves du Manoir	48.8819055	2.2873258
